mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__nstates,param_clf__pew,param_discretize__bins,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_aic,split1_test_aic,split2_test_aic,mean_test_aic,std_test_aic,rank_test_aic,split0_test_log_loss,split1_test_log_loss,split2_test_log_loss,mean_test_log_loss,std_test_log_loss,rank_test_log_loss,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_mod_roc_auc,split1_test_mod_roc_auc,split2_test_mod_roc_auc,mean_test_mod_roc_auc,std_test_mod_roc_auc,rank_test_mod_roc_auc,split0_test_mod_roc_auc_no_pew,split1_test_mod_roc_auc_no_pew,split2_test_mod_roc_auc_no_pew,mean_test_mod_roc_auc_no_pew,std_test_mod_roc_auc_no_pew,rank_test_mod_roc_auc_no_pew
0.08341073989868164,0.008413439703044538,6.490320523579915,2.525641671033534,5,40,"[0, 5, 20, 80, 95, 100]","{'clf__nstates': 5, 'clf__pew': np.int64(40), 'discretize__bins': [0, 5, 20, 80, 95, 100]}",0.008403361344537815,0.027777777777777776,0.05,0.028727046374105197,0.016995017309185123,7,15619.61194648694,15619.855421807008,15619.77410352574,15619.74715727323,0.10120814612700985,10,-0.1940267565294002,-0.07228909649576266,-0.11294823712987864,-0.12642136338501384,0.05060407306354887,39,0.7268518518518519,0.9622844827586207,0.9856060606060606,0.8915807984055112,0.11686942392497214,2,0.4474715721134354,0.8763428078718898,0.705339628435636,0.6763846694736538,0.17627899563213897,27,0.8847457627118644,0.9816414686825053,0.9954128440366973,0.9539333584770224,0.04924500144250638,1
0.0852491060892741,0.0073392561515915325,6.452189524968465,2.565543128269319,5,50,"[0, 5, 20, 80, 95, 100]","{'clf__nstates': 5, 'clf__pew': np.int64(50), 'discretize__bins': [0, 5, 20, 80, 95, 100]}",0.008403361344537815,0.03333333333333333,0.045454545454545456,0.029063746710805537,0.01542443058773693,6,15619.607748630791,15619.848182985435,15619.748752697906,15619.734894771376,0.09864482185777114,12,-0.19612568460479143,-0.07590850728200084,-0.12562365104727832,-0.13255261431135687,0.04932241092918466,42,0.7268518518518519,0.96875,0.9840909090909091,0.8932309203142537,0.1178143502570784,1,0.3251636364313991,0.8431677046317104,0.6262068013174455,0.5981793807935184,0.21240088809283414,45,0.8693548387096773,0.9783549783549783,0.9954093343534812,0.9477063838060457,0.05583867374781325,2
0.07770744959513347,0.0032289173982067805,6.43914000193278,2.570649233493955,5,30,"[0, 5, 20, 80, 95, 100]","{'clf__nstates': 5, 'clf__pew': np.int64(30), 'discretize__bins': [0, 5, 20, 80, 95, 100]}",0.008849557522123894,0.02631578947368421,0.022222222222222223,0.019129189739343442,0.007458438268231675,29,15619.674537581068,15619.857934599828,15619.814115888556,15619.78219602315,0.07819963758705319,7,-0.16273120946611436,-0.07103270008636034,-0.0929420557224473,-0.108901988424974,0.03909981879343428,30,0.7407407407407407,0.9601293103448276,0.9666666666666668,0.8891789059174117,0.10499555837488928,3,0.4990286571859144,0.9066424114085557,0.7759203494353449,0.7271971393432716,0.1699366677307092,17,0.8741935483870968,0.9800215982721382,0.986610558530987,0.946941901730074,0.05151113656229538,3
0.07857624689737956,0.006560993183528864,6.408355236053467,2.5338685075291596,5,70,"[0, 5, 20, 80, 95, 100]","{'clf__nstates': 5, 'clf__pew': np.int64(70), 'discretize__bins': [0, 5, 20, 80, 95, 100]}",0.008403361344537815,0.009174311926605505,0.045454545454545456,0.02101073957522959,0.01728724627385278,28,15619.605591796098,15619.782162045565,15619.709756009057,15619.69916995024,0.07247211753560233,15,-0.19720410195043056,-0.10891897721771243,-0.14512199547177587,-0.15041502487997294,0.036236058767521694,50,0.7268518518518519,0.8836206896551724,0.9840909090909091,0.8648544835326444,0.1058524476539069,7,0.28050590578664586,0.9751498501498501,0.4683996188487825,0.5746851249284262,0.29337690088811474,54,0.8693548387096773,0.9755529685681024,0.9942616679418514,0.9463898250732105,0.05500482221942982,4
0.07785828908284505,0.0026614659138703236,6.352090120315552,2.471227426761586,5,90,"[0, 5, 20, 80, 95, 100]","{'clf__nstates': 5, 'clf__pew': np.int64(90), 'discretize__bins': [0, 5, 20, 80, 95, 100]}",0.008403361344537815,0.017857142857142856,0.04,0.022086834733893557,0.01324146551834174,25,15619.594159678205,15619.681212778554,15619.660655587326,15619.645342681362,0.037152159084025915,19,-0.2029201608974681,-0.15939361072251224,-0.16967220633690303,-0.17732865931896113,0.01857607954212598,64,0.7268518518518519,0.9407327586206896,0.9818181818181818,0.8831342640969079,0.11177401988738843,5,0.2689136654756258,0.9056678418642915,0.38916380862811223,0.5212484386560098,0.2762230166662522,72,0.8713826366559485,0.9692556634304207,0.9927258805513017,0.9444547268792237,0.052550677446468574,5
0.07703010241190593,0.004723718250655568,6.408423741658528,2.5193260821499255,5,80,"[0, 5, 20, 80, 95, 100]","{'clf__nstates': 5, 'clf__pew': np.int64(80), 'discretize__bins': [0, 5, 20, 80, 95, 100]}",0.008403361344537815,0.019230769230769232,0.04,0.022544710191769013,0.013110391479044551,24,15619.601981100594,15619.736028133417,15619.669746671174,15619.669251968395,0.05472558999412163,18,-0.19900944970321285,-0.13198593329127595,-0.16512666441281357,-0.16537401580243413,0.027362794997194694,58,0.7268518518518519,0.9450431034482759,0.9818181818181819,0.8845710457061032,0.11253032089116952,4,0.2648543552871835,0.9151800820670887,0.42266601280400745,0.5342334833860932,0.27696734235527526,67,0.8693548387096773,0.970873786407767,0.9927314460596786,0.9443200237257076,0.053754215615958535,6
0.07526556650797527,0.0025042310131439733,6.467659870783488,2.547314856614604,5,60,"[0, 5, 20, 80, 95, 100]","{'clf__nstates': 5, 'clf__pew': np.int64(60), 'discretize__bins': [0, 5, 20, 80, 95, 100]}",0.008403361344537815,0.011235955056179775,0.045454545454545456,0.021697953951754348,0.0168382031237832,27,15619.606484432123,15619.796596735081,15619.729973063226,15619.711018076812,0.07876183748726327,14,-0.1967577839382482,-0.10170163245988252,-0.1350134683867163,-0.144490961594949,0.039380918743333666,47,0.7268518518518519,0.9051724137931034,0.9840909090909091,0.8720383915786215,0.10759919675472206,6,0.29944480980287724,0.9227086493892002,0.5605877025714486,0.5942470539211753,0.25555712653460305,47,0.8693548387096773,0.9637681159420289,0.9946442234123948,0.9425890593547003,0.053296477733794825,7
0.07735935846964519,0.003801708920333918,6.291009187698364,2.4198959012699763,5,100,"[0, 5, 20, 80, 95, 100]","{'clf__nstates': 5, 'clf__pew': np.int64(100), 'discretize__bins': [0, 5, 20, 80, 95, 100]}",0.007462686567164179,0.01098901098901099,0.038461538461538464,0.01897107867257121,0.013856821618996672,30,15619.581531923093,15619.613221775096,15619.646375864198,15619.61370985413,0.02647467771753194,21,-0.20923403845363808,-0.19338911245220552,-0.17681206790080659,-0.19314507293555006,0.013237338858860198,70,0.6921296296296297,0.9030172413793103,0.9810606060606061,0.8587358256898486,0.12204073122510242,8,0.2726408550469919,0.8894444444444445,0.36351352024175304,0.5085329399110631,0.27188801743158025,79,0.847266881028939,0.9503775620280475,0.9923371647509579,0.9299938692693148,0.060953359232878895,8
0.05753119786580404,0.0050384456296390726,6.543481190999349,2.6772339118594117,4,30,"[0, 5, 50, 95, 100]","{'clf__nstates': 4, 'clf__pew': np.int64(30), 'discretize__bins': [0, 5, 50, 95, 100]}",0.05,0.0019047619047619048,0.023809523809523808,0.025238095238095237,0.019660766246585415,20,5455.196588159864,5455.7795170776835,5455.687069069684,5455.554391435744,0.2558046738150142,57,-0.401705920067985,-0.11024146115839627,-0.15646546515804166,-0.222804282128141,0.12790233690752512,77,0.9560185185185185,0.43534482758620685,0.968939393939394,0.7867675800147064,0.2485493920715791,9,0.73910919783678,0.7260579064587973,0.7266307334312825,0.7305992792422865,0.006021963608258236,15,0.9983870967741935,0.778846153846154,0.9919106317411402,0.9230479607871626,0.10200034965175372,9
0.061794281005859375,0.00638948527893538,6.430880069732666,2.5459135996914104,4,20,"[0, 5, 50, 95, 100]","{'clf__nstates': 4, 'clf__pew': np.int64(20), 'discretize__bins': [0, 5, 50, 95, 100]}",0.1,0.0020920502092050207,0.007142857142857143,0.03641163578402073,0.045011018728146134,2,5455.519310012435,5455.828791366438,5455.713917515485,5455.687339631452,0.1277353124201003,46,-0.2403449937826133,-0.08560431678114352,-0.14304124225758585,-0.1563301842737809,0.06386765621006532,52,0.9791666666666666,0.48599137931034486,0.8946969696969698,0.7866183385579938,0.2153542955169516,10,0.8217236255451705,0.7555066079295154,0.7929398352574705,0.7900566895773854,0.027109749196398455,4,0.9870967741935484,0.77262044653349,0.9573312645461598,0.9056828284243994,0.09487076998740215,10
