pew,nstates,,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__modelfile,param_discretize__bins,params,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_aic,split1_test_aic,split2_test_aic,mean_test_aic,std_test_aic,rank_test_aic,split0_test_log_loss,split1_test_log_loss,split2_test_log_loss,mean_test_log_loss,std_test_log_loss,rank_test_log_loss,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_mod_roc_auc,split1_test_mod_roc_auc,split2_test_mod_roc_auc,mean_test_mod_roc_auc,std_test_mod_roc_auc,rank_test_mod_roc_auc,split0_test_mod_roc_auc_no_pew,split1_test_mod_roc_auc_no_pew,split2_test_mod_roc_auc_no_pew,mean_test_mod_roc_auc_no_pew,std_test_mod_roc_auc_no_pew,rank_test_mod_roc_auc_no_pew
10,2,2,0.08475987116495769,0.01912445642638162,1.2789117495218914,0.4372838604030655,fully_connected_model_2_states.xdsl,"[0, 95, 100]","{'clf__modelfile': 'fully_connected_model_2_states.xdsl', 'discretize__bins': [0, 95, 100]}",0.10019946753479184,0.013501283395375097,0.018957011300884848,0.04421925407701726,0.03964660108027963,1,247.7051285049578,247.78500909153388,247.846747938613,247.7789618450349,0.057973803796019935,3,-0.14743574752110677,-0.10749545423305616,-0.07662603069349826,-0.11051907748255374,0.02898690189801482,3,0.8848699763593381,0.5767682263329706,0.7994660564454615,0.7537014197125901,0.12987808019779246,1,0.9347946427235294,0.7668845315904139,0.906483316319382,0.8693874968777751,0.07339630426761747,1,0.9623287671232876,0.7885747938751473,0.9403100775193799,0.8970712128392716,0.07724338318586434,1
10,2,1,0.07683300971984863,0.023707785412641923,1.359432061513265,0.5011976784380036,fully_connected_model_2_states.xdsl,"[0, 50, 100]","{'clf__modelfile': 'fully_connected_model_2_states.xdsl', 'discretize__bins': [0, 50, 100]}",0.07106802670999297,0.017564067524683157,0.006499303162758091,0.031710465799144744,0.028194212801383886,3,247.75435321990517,247.86954121455406,247.85716080297672,247.82701841247865,0.05163003845638654,2,-0.12282339004741245,-0.06522939272297415,-0.0714195985116396,-0.08649079376067541,0.02581501922819054,2,0.8401891252955083,0.686398258977149,0.3837528604118994,0.6367800815615189,0.18961362226514158,2,0.9090981171128512,0.8099128540305012,0.6509838067215117,0.789998259288288,0.10631146887019959,2,0.9550000000000001,0.8331381733021077,0.7220496894409938,0.8367292875810338,0.09513546087450812,2
10,2,0,0.07909099260965984,0.01973019181661245,1.3160796165466309,0.4762893224426744,fully_connected_model_2_states.xdsl,"[0, 5, 100]","{'clf__modelfile': 'fully_connected_model_2_states.xdsl', 'discretize__bins': [0, 5, 100]}",0.0430807123217519,0.04807692307692308,0.00759312733366786,0.032916920910780946,0.018022419765941485,2,247.77800577753888,247.88701598603785,247.90446056936605,247.85649411098095,0.05595469737061823,1,-0.11099711123056054,-0.056492006981067294,-0.04776971531697895,-0.07175294450953558,0.02797734868530919,1,0.6443262411347518,0.8922742110990207,0.33768115942028987,0.6247605372180208,0.2268339713239616,3,0.7770467286596319,0.732824427480916,0.6233011069076643,0.7110574210160707,0.06462600601308649,3,0.8221830985915494,0.7733026467203682,0.7147286821705426,0.7700714758274868,0.043927540724083586,3
10,3,0,0.09012134869893391,0.0251623006376274,1.2738684018452961,0.48067093323510257,fully_connected_model_3_states.xdsl,"[0, 5, 95, 100]","{'clf__modelfile': 'fully_connected_model_3_states.xdsl', 'discretize__bins': [0, 5, 95, 100]}",0.1054079754557112,0.013614880968549627,0.02635727932069086,0.04846004524831723,0.04060289189307271,1,1451.7572712079818,1451.807425408617,1451.8253517691712,1451.7966827952566,0.028813116334095727,2,-0.12136439600905853,-0.09628729569141262,-0.08732411541438324,-0.10165860237161813,0.014406558167044897,2,0.8950354609929079,0.5837867247007617,0.8528604118993135,0.7772275325309943,0.13786271744510076,1,0.9415212187911506,0.7690631808278867,0.9266898857062792,0.8790914284417721,0.07803697228453305,1,0.9607508532423208,0.7905882352941177,0.9472868217054263,0.8995419700806216,0.0772377596742789,1
10,3,1,0.09076436360677083,0.020258973771413134,1.3226017157236736,0.45218357962304545,fully_connected_model_3_states.xdsl,"[0, 33, 66, 100]","{'clf__modelfile': 'fully_connected_model_3_states.xdsl', 'discretize__bins': [0, 33, 66, 100]}",0.09708354808228174,0.014045023402210251,0.004375463453103707,0.03850134497919857,0.041611544773940704,2,1451.7371401756616,1451.866774214896,1451.8068354578418,1451.8035832827998,0.052972813869832304,1,-0.13142991216917949,-0.06661289255207026,-0.09658227107912848,-0.09820835860012607,0.02648640693488692,1,0.8891252955082742,0.5992383025027204,0.047520976353928254,0.5119615247883076,0.3490820194462144,2,0.9329955845750079,0.7780854316287387,0.5,0.7370270054012488,0.17913800981100553,2,0.9664429530201342,0.830546265328874,0.5,0.7656630727830027,0.19587347721040782,2
10,3,2,0.09529463450113933,0.018661398441682173,1.2702823479970295,0.4055891188648727,fully_connected_model_3_states.xdsl,"[0, 25, 75, 100]","{'clf__modelfile': 'fully_connected_model_3_states.xdsl', 'discretize__bins': [0, 25, 75, 100]}",0.01926648908934786,0.015715144885298668,0.004550493136432472,0.013177375703693,0.006270052553521708,3,1451.681560347615,1451.8458464593305,1451.822253190023,1451.7832199989896,0.07252665775350746,3,-0.15921982619245462,-0.07707677033472948,-0.08887340498849744,-0.10839000050522718,0.03626332887674144,3,0.35390070921985817,0.64069640914037,0.0954233409610984,0.3633401531071088,0.22270684325076998,3,0.6073072226918381,0.7500444840844599,0.5,0.6191172355920993,0.10242124880054328,3,0.6950354609929078,0.8427638737758434,0.5,0.679266444922917,0.14037631493552677,3
10,4,1,0.10353469848632812,0.02303527019307748,1.6573808193206787,0.6237437904512627,fully_connected_model_4_states.xdsl,"[0, 5, 50, 95, 100]","{'clf__modelfile': 'fully_connected_model_4_states.xdsl', 'discretize__bins': [0, 5, 50, 95, 100]}",0.107877249077229,0.015430666149763956,0.009648051667162115,0.04431865563138502,0.045004672040238655,1,5455.772252019706,5455.817698296346,5455.746392951433,5455.778781089161,0.029474108572857625,4,-0.11387399014711087,-0.09115085182712046,-0.12680352428355132,-0.11060945541926089,0.014737054286466477,4,0.9011820330969267,0.6411316648531011,0.5918382913806255,0.711383996443551,0.1357078484715882,1,0.9374930498450359,0.7805010893246187,0.7783182209411716,0.832104120036942,0.07452655510248839,1,0.9634551495016611,0.8018757327080891,0.8299689440993788,0.865099942103043,0.07048695977927552,1
10,4,2,0.10400390625,0.023201186147418076,1.640577793121338,0.6201354019123947,fully_connected_model_4_states.xdsl,"[0, 10, 50, 90, 100]","{'clf__modelfile': 'fully_connected_model_4_states.xdsl', 'discretize__bins': [0, 10, 50, 90, 100]}",0.043237794135401644,0.01853270557761523,0.0075316570625799245,0.023100718925198934,0.014930552917280291,4,5455.788490555107,5455.863856128639,5455.761593803472,5455.804646829073,0.04328328914221947,1,-0.1057547224465773,-0.06807193568067951,-0.11920309826394841,-0.09767658546373507,0.021641644571124777,1,0.7295508274231678,0.697170837867247,0.47383676582761247,0.6335194770393424,0.11368389544656107,2,0.7967959457005835,0.826797385620915,0.5711591532579651,0.7315841615264879,0.11409691511397965,3,0.863013698630137,0.8472222222222223,0.7722095671981777,0.827481829350179,0.039611529502869905,2
10,4,3,0.09157903989156087,0.019861497482542397,1.5513851642608643,0.5918500396733032,fully_connected_model_4_states.xdsl,"[0, 20, 50, 80, 100]","{'clf__modelfile': 'fully_connected_model_4_states.xdsl', 'discretize__bins': [0, 20, 50, 80, 100]}",0.05283343862874247,0.031574959397636534,0.004254490254624512,0.02955429609366784,0.01988367615951686,2,5455.761506894646,5455.877389358952,5455.742008558772,5455.793634937457,0.059755884594493866,3,-0.11924655267688439,-0.0613053205239412,-0.12899572061426107,-0.10318253127169556,0.029877942297249632,3,0.7848699763593381,0.8284004352557127,0.019755911517925294,0.5443421077109921,0.37136391239157424,3,0.8594890974280787,0.9030463292562185,0.5,0.7541784755614325,0.1806088428809303,2,0.9100346020761246,0.9362637362637363,0.5,0.782099446113287,0.19976163294140578,3
10,4,0,0.10236605008443196,0.025958088147407812,1.604777495066325,0.6185249882723571,fully_connected_model_4_states.xdsl,"[0, 25, 50, 75, 100]","{'clf__modelfile': 'fully_connected_model_4_states.xdsl', 'discretize__bins': [0, 25, 50, 75, 100]}",0.05876243570629697,0.010554984732601812,0.0042093655723864,0.024508928670428393,0.024359033626478243,3,5455.762723238297,5455.837723013985,5455.787550752731,5455.795999001672,0.031195846635017767,2,-0.11863838085136942,-0.08113849300739827,-0.10622462363490683,-0.10200049916455817,0.015597923317616197,2,0.8059101654846336,0.464417845484222,0.009000762776506455,0.42644292458178734,0.3264431752432222,4,0.9006857415659405,0.6967638660552047,0.5,0.6991498692070484,0.16358796946768908,4,0.9498269896193772,0.7675585284280936,0.5,0.7391285060158236,0.18473815664029172,4
